Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Solidity,Roundness
56276.0,888.242,326.1485,220.2388,0.9902,0.8963
76631.0,1068.146,417.1932,234.2289,0.9916,0.844
71623.0,1082.987,435.8328,211.0457,0.9857,0.7674
66458.0,992.051,381.5638,222.5322,0.9902,0.8486
66107.0,998.146,383.8883,220.4545,0.985,0.8338
73191.0,1041.46,405.8132,231.4261,0.9895,0.848
73338.0,1020.055,392.2516,238.5494,0.9929,0.8857
69692.0,1049.108,421.4875,211.7707,0.9894,0.7957
95727.0,1231.609,488.1199,251.3086,0.9886,0.793
73465.0,1047.767,413.6504,227.2644,0.9916,0.8409
83429.0,1114.561,438.5827,242.8826,0.9917,0.844
85461.0,1136.125,446.2935,245.1551,0.9898,0.832
71393.0,1096.533,459.2091,199.1305,0.9888,0.7461
80151.0,1088.349,420.8842,244.2649,0.9913,0.8503
68078.0,1016.821,403.0626,215.6027,0.9908,0.8274
57934.0,933.357,368.7807,201.2084,0.9878,0.8357
61138.0,953.256,371.2713,211.3706,0.99,0.8455
61519.0,964.694,382.1808,205.6436,0.9886,0.8307
76073.0,1064.233,430.7576,225.3286,0.9934,0.844
56882.0,926.303,368.015,197.4554,0.9885,0.8331
69350.0,1037.403,418.2706,211.9446,0.9872,0.8098
82196.0,1141.067,466.2324,225.8543,0.9904,0.7933
62165.0,936.716,356.8281,222.3935,0.9923,0.8903
85913.0,1120.778,435.7355,251.4643,0.9923,0.8595
68683.0,1021.57,409.83,214.3968,0.9906,0.827
61215.0,951.511,369.4055,212.7202,0.9884,0.8497
72713.0,1039.375,401.8137,231.1989,0.9915,0.8458
58684.0,917.482,355.8436,210.4503,0.9913,0.8761
59652.0,932.197,359.1674,213.7165,0.9908,0.8626
89091.0,1138.972,443.718,256.1033,0.9903,0.863
61124.0465582495,938.9453046098132,394.85958152530077,209.89608931304124,0.9678870831975088,0.7859417944385365
63996.09767958284,609.7311114395942,304.40906019087987,198.17381168831122,0.7973182064164505,0.5701152203020438
55545.45341062979,881.7375592718845,420.3752418539625,203.56372955080553,0.9872790937101583,0.8017919908044727
75837.55811086003,1089.4375068845866,378.9013016056356,255.2782500233656,0.8269796868556585,0.8415193235256826
70978.65094298107,993.0090965385133,378.50227855221607,193.38258482028084,1.0586857882640086,0.7916892796291259
64822.72472430296,1009.0424752589637,357.90669458127826,224.27397392936996,0.9345642809062171,0.879819059472824
72980.01281486885,1157.3086290164406,353.5239318682071,177.20040136806804,0.9155155837594554,0.9198244273921821
59378.78705784522,966.9541847809419,302.35627487040165,196.87762275429333,0.8811572474592159,0.6994241335200136
